clearance_date,clearance_status,council_district,go_census_tract,go_district,go_highest_offense_desc,go_location,go_location_zip,go_primary_key,go_report_date,go_x_coordinate,go_y_coordinate,highest_nibrs_ucr_offense_description
3-Jan-16,N,9,5,B,AUTO THEFT                    ,3106 DUVAL ST                                                                                       ,78705,201620674,2-Jan-16,3117030,10080071,Auto Theft
,,9,14.03,H,AGG ASSAULT                   ,1730 BLOCK E OLTORF ST                                                                              ,78741,201620694,2-Jan-16,3116319,10058015,Agg Assault
3-Jan-16,N,1,8.03,C,AUTO THEFT                    ,1812 ULIT AVE                                                                                       ,78702,201620706,2-Jan-16,3123757,10075640,Auto Theft
4-Jan-16,C,2,24.35,H,BURGLARY OF RESIDENCE         ,6201 VIDA NUEVA AVE                                                                                 ,78617,201620727,2-Jan-16,3152566,10034773,Burglary
14-Apr-16,C,5,24.21,F,THEFT BY SHOPLIFTING          ,9300 S IH 35 SVRD SB                                                                                ,78748,201620730,2-Jan-16,3100423,10033116,Theft
4-Jan-16,O,4,15.03,I,AGG ASSAULT FAM/DATE VIOLENCE ,7100 N IH 35 SVRD SB                                                                                ,78752,201620826,2-Jan-16,3125615,10094453,Agg Assault
12-Feb-16,C,7,18.39,E,THEFT                         ,12351 N IH 35 SVRD NB                                                                               ,78753,201620832,2-Jan-16,3135053,10119764,Theft
5-Jan-16,N,1,18.11,I,BURGLARY OF RESIDENCE         ,7200 CREEKSIDE DR                                                                                   ,78752,201620834,2-Jan-16,3132127,10091520,Burglary
2-May-16,N,6,204.1,A,BURGLARY NON RESIDENCE        ,12835 POND SPRINGS RD                                                                               ,78729,201620836,2-Jan-16,3104427,10131590,Burglary
14-Apr-16,C,8,19.1,D,THEFT                         ,2901 S CAPITAL OF TEXAS HWY NB                                                                      ,78746,201620840,2-Jan-16,3094135,10066586,Theft
13-Jan-16,N,4,18.22,E,THEFT                         ,9971 QUAIL BLVD                                                                                     ,78758,201620922,2-Jan-16,3126850,10108213,Theft
3-Jan-16,N,3,13.07,D,AUTO THEFT                    ,2900 S 1ST ST                                                                                       ,78704,201620974,2-Jan-16,3108008,10059149,Auto Theft
11-Jan-16,C,9,11,G,AGG ASLT STRANGLE/SUFFOCATE   ,715 E 7TH ST                                                                                        ,78701,201621002,2-Jan-16,3116785,10070364,Agg Assault
3-Jan-16,N,5,13.04,D,AUTO THEFT                    ,1502 CINNAMON PATH                                                                                  ,78704,201621057,2-Jan-16,3104738,10060414,Auto Theft
13-Jan-16,C,2,24.28,F,AGG ASLT STRANGLE/SUFFOCATE   ,5616 ZACHARY SCOTT ST                                                                               ,78747,201621095,2-Jan-16,3106724,10023801,Agg Assault
6-Jan-16,N,1,18.35,E,BURGLARY OF RESIDENCE         ,12151 N IH 35 SVRD NB                                                                               ,78753,201621141,2-Jan-16,3135985,10117220,Burglary
22-Feb-16,N,1,8.03,C,THEFT                         ,1208 CEDAR AVE                                                                                      ,78702,201621183,2-Jan-16,3123542,10073699,Theft
6-Jan-16,N,3,20.03,D,BURGLARY OF RESIDENCE         ,5259 MEADOW CREEK DR                                                                                ,78745,201621253,2-Jan-16,3100863,10051878,Burglary
6-Jan-16,N,3,23.15,H,BURGLARY OF RESIDENCE         ,1840 BURTON DR                                                                                      ,78741,201621268,2-Jan-16,3118630,10058878,Burglary
3-Jan-16,C,4,18.22,E,AUTO THEFT                    ,1124 RUTLAND DR                                                                                     ,78758,201621300,2-Jan-16,3125782,10107636,Auto Theft
11-Jan-16,C,7,15.01,B,THEFT BY SHOPLIFTING          ,2525 W ANDERSON LN                                                                                  ,78757,201621347,2-Jan-16,3116494,10102601,Theft
5-Jan-16,C,5,17.72,F,AGG ASLT STRANGLE/SUFFOCATE   ,11310 JAMES HALLER DR                                                                               ,78748,201621408,2-Jan-16,3088419,10028173,Agg Assault
9-Mar-16,O,9,14.02,H,RAPE                          ,,78704,201621482,2-Jan-16,,,Rape
14-Jan-16,N,4,18.04,I,BURGLARY OF VEHICLE           ,7522 N IH 35 SB                                                                                     ,78752,20165000106,2-Jan-16,3126647,10096054,Theft
4-Jan-16,N,9,11,G,BURGLARY OF VEHICLE           ,W 4TH ST / NUECES ST                                                                                ,78701,20165000108,2-Jan-16,3112317,10070603,Theft
4-Jan-16,N,3,13.08,D,BURGLARY OF VEHICLE           ,2400 S CONGRESS AVE                                                                                 ,78704,20165000113,2-Jan-16,3110845,10059841,Theft
11-Jan-16,N,6,204.05,A,BURGLARY OF VEHICLE           ,9218 BALCONES CLUB DR                                                                               ,78750,20165000114,2-Jan-16,3098748,10134082,Theft
4-Jan-16,N,3,13.08,D,BURGLARY OF VEHICLE           ,2400 S CONGRESS AVE                                                                                 ,78704,20165000115,2-Jan-16,3110845,10059841,Theft
13-Jan-16,N,7,18.49,A,THEFT                         ,9200 BURNET RD                                                                                      ,78758,20165000118,2-Jan-16,3118657,10110081,Theft
5-Jan-16,N,5,17.28,F,THEFT                         ,6920 MANCHACA RD                                                                                    ,78745,20165000121,2-Jan-16,3094201,10046427,Theft
4-Jan-16,N,1,11,G,BURGLARY OF VEHICLE           ,306 E 10TH ST                                                                                       ,78701,20165000126,2-Jan-16,3115737,10071937,Theft
12-Jan-16,N,2,9800,AP,THEFT                         ,3600 PRESIDENTIAL BLVD                                                                              ,78719,20165000130,2-Jan-16,3138768,10047351,Theft
6-Jan-16,N,2,24.19,F,BURGLARY OF VEHICLE           ,1912 E WILLIAM CANNON DR                                                                            ,78744,20165000132,2-Jan-16,3108107,10041682,Theft
8-Jan-16,N,4,18.04,E,BURGLARY OF VEHICLE           ,8026 GESSNER DR                                                                                     ,78753,20165000133,2-Jan-16,3126528,10098861,Theft
7-Jan-16,N,9,13.05,D,THEFT                         ,1700 S CONGRESS AVE                                                                                 ,78704,20165000134,2-Jan-16,3111907,10063028,Theft
28-Jan-16,N,9,11,G,THEFT                         ,E 6TH ST / TRINITY ST                                                                               ,78701,20165000139,2-Jan-16,3115416,10070416,Theft
8-Jan-16,N,10,17.55,A,BURGLARY OF VEHICLE           ,7102 RED MAPLE CV                                                                                   ,78759,20165000143,2-Jan-16,3103558,10123916,Theft
5-Jan-16,N,5,13.04,D,THEFT                         ,2216 THORNTON RD                                                                                    ,78704,20165000144,2-Jan-16,3105335,10062433,Theft
13-Jan-16,N,7,18.5,A,THEFT                         ,12221 N MOPAC EXPY NB                                                                               ,78758,20165000160,2-Jan-16,3124418,10123528,Theft
19-Apr-16,N,3,23.07,H,BURGLARY OF VEHICLE           ,2250 E BEN WHITE BLVD SVRD WB                                                                       ,78741,20165000163,2-Jan-16,3115825,10051962,Theft
6-Jan-16,N,9,12,G,THEFT OF LICENSE PLATE        ,W 6TH ST / N LAMAR BLVD                                                                             ,78703,20165000166,2-Jan-16,3110761,10071934,Theft
29-Feb-16,N,7,18.5,A,THEFT                         ,12345 LAMPLIGHT VILLAGE AVE                                                                         ,78758,20165000171,2-Jan-16,3127899,10123653,Theft
13-Jan-16,N,7,2.06,B,THEFT                         ,5700 BURNET RD                                                                                      ,78756,20165000174,2-Jan-16,3114553,10094308,Theft
3-Jan-16,N,4,18.06,E,THEFT OF LICENSE PLATE        ,8312 N IH 35 SVRD SB                                                                                ,78753,20165000177,2-Jan-16,3128227,10099667,Theft
21-Jan-16,N,9,7,B,THEFT                         ,1812 WEST AVE                                                                                       ,78701,20165000178,2-Jan-16,3113132,10076059,Theft
5-Jan-16,N,2,24.02,F,THEFT                         ,600 W WILLIAM CANNON DR                                                                             ,78745,20165000185,2-Jan-16,3101178,10044981,Theft
4-Jan-16,N,8,17.69,D,BURGLARY OF VEHICLE           ,6705 COVERED BRIDGE DR                                                                              ,78736,20165000189,2-Jan-16,3066575,10062557,Theft
5-Jan-16,N,2,24.11,F,THEFT OF BICYCLE              ,5500 PEPPERTREE PKWY                                                                                ,78744,20165000192,2-Jan-16,3111593,10044597,Theft
15-Jan-16,N,9,7,B,THEFT BY SHOPLIFTING          ,1814 GUADALUPE ST                                                                                   ,78701,20165000197,2-Jan-16,3114477,10075615,Theft
16-Jan-16,N,3,9.02,G,THEFT                         ,1500 E 6TH ST                                                                                       ,78702,20165000199,2-Jan-16,3119252,10069180,Theft
6-Jan-16,N,9,11,G,THEFT                         ,115 SAN JACINTO BLVD                                                                                ,78701,20165000202,2-Jan-16,3114695,10069046,Theft
26-Apr-16,N,9,23.04,H,THEFT OF BICYCLE              ,1620 E RIVERSIDE DR                                                                                 ,78741,20168000019,2-Jan-16,3118447,10062526,Theft
14-Jan-16,N,10,16.04,B,BURGLARY OF VEHICLE           ,3505 W 35TH ST                                                                                      ,78703,20168000020,2-Jan-16,3105243,10087231,Theft
14-Jan-16,N,9,7,B,BURGLARY OF VEHICLE           ,1400 RIO GRANDE ST                                                                                  ,78701,20168000021,2-Jan-16,3112968,10074431,Theft
5-Jan-16,N,5,20.04,D,THEFT OF BICYCLE              ,4009 VICTORY DR                                                                                     ,78704,20168000022,2-Jan-16,3099793,10058337,Theft
21-Jan-16,N,9,16.05,B,THEFT                         ,2305 WINDSOR RD                                                                                     ,78703,20168000047,2-Jan-16,3109972,10077953,Theft
26-Jan-16,N,9,11,G,THEFT                         ,E 6TH ST / NECHES ST                                                                                ,78701,20168000131,2-Jan-16,3115762,10070320,Theft
